tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793158746629345280,2874635195,0,0,1,0,,,,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793160340515106816,362247179,0,0,1,0,['chefBOYERdee1'],,,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793160889989857280,268936576,220,0,0,0,['MattMcGorry'],['NoDAPL'],,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793161741563666432,751885664283602944,4,0,0,0,['CatalyticRxn'],,,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793164303968800768,1601180336,1,0,0,0,,['Periscope'],,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793165856553459712,4445445087,0,0,0,0,,['funny'],,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793168139777298432,788130214270210048,0,0,0,0,['alroker'],,,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793168958559952896,626378558,0,0,0,0,,"['weather', 'forecast']",,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793168974510821376,62050691,0,0,0,0,,"['weather', 'forecast']",,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793169535264096256,366888493,3,0,0,0,['CatalyticRxn'],['sciwri16'],,
tweet_id,tweeter_id,retweets,replies,likes,quote_tweets,mentioned_users,hashtags,annotations,urls
793169883290820608,20392809,15,0,0,0,['thinkprogress'],,,
